Código da estação|Nome da estação|Data|Key|Precipitação|Temp. Máxima|Temp. Mínima|Temp. Comp. Média
82890|ARCOVERDE|1/1/2015|ARCOVERDE_42005|0,00|32,40|19,80|25,06
82890|ARCOVERDE|4/1/2015|ARCOVERDE_42008|0,00|32,40|19,90|25,08
82890|ARCOVERDE|5/1/2015|ARCOVERDE_42009|0,00|32,40|18,30|25,24
82890|ARCOVERDE|6/1/2015|ARCOVERDE_42010|0,00|31,60|19,50|25,28
82890|ARCOVERDE|7/1/2015|ARCOVERDE_42011|0,00|31,80|20,30|25,04
82890|ARCOVERDE|8/1/2015|ARCOVERDE_42012|0,00|32,00|19,90|24,64
82890|ARCOVERDE|9/1/2015|ARCOVERDE_42013|0,00|31,80|18,90|24,32
82890|ARCOVERDE|10/1/2015|ARCOVERDE_42014|0,00|32,80|19,30|24,92
82890|ARCOVERDE|11/1/2015|ARCOVERDE_42015|0,00|32,20|20,30|25,32
82890|ARCOVERDE|12/1/2015|ARCOVERDE_42016|0,00|32,40|21,30|25,08
82890|ARCOVERDE|13/1/2015|ARCOVERDE_42017|0,00|32,00|20,30|24,96
82890|ARCOVERDE|14/1/2015|ARCOVERDE_42018|0,00|32,60|19,70|24,76
82890|ARCOVERDE|15/1/2015|ARCOVERDE_42019|0,00|32,80|19,30|25,20
82890|ARCOVERDE|16/1/2015|ARCOVERDE_42020|0,00|33,20|19,50|25,60
82890|ARCOVERDE|17/1/2015|ARCOVERDE_42021|0,00|34,60|19,90|26,00
82890|ARCOVERDE|18/1/2015|ARCOVERDE_42022|0,00|33,80|20,30|26,00
82890|ARCOVERDE|19/1/2015|ARCOVERDE_42023|0,00|33,00|20,50|25,64
82890|ARCOVERDE|20/1/2015|ARCOVERDE_42024|0,00|33,40|19,10|25,64
82890|ARCOVERDE|21/1/2015|ARCOVERDE_42025|0,00|33,40|20,10|25,60
82890|ARCOVERDE|22/1/2015|ARCOVERDE_42026|0,00|31,00|19,90|24,80
82890|ARCOVERDE|23/1/2015|ARCOVERDE_42027|0,00|31,80|19,90|25,04
82890|ARCOVERDE|24/1/2015|ARCOVERDE_42028|0,00|32,60|20,90|24,64
82890|ARCOVERDE|25/1/2015|ARCOVERDE_42029|1,10|32,20|20,10|25,16
82890|ARCOVERDE|26/1/2015|ARCOVERDE_42030|0,00|32,40|18,30|25,76
82890|ARCOVERDE|27/1/2015|ARCOVERDE_42031|0,00|33,40|18,50|25,52
82890|ARCOVERDE|28/1/2015|ARCOVERDE_42032|0,00|32,50|18,30|25,06
82890|ARCOVERDE|29/1/2015|ARCOVERDE_42033|0,00|32,40|19,50|25,64
82890|ARCOVERDE|30/1/2015|ARCOVERDE_42034|0,00|33,60|20,90|26,24
82890|ARCOVERDE|31/1/2015|ARCOVERDE_42035|0,00|33,40|19,50|26,08
82890|ARCOVERDE|1/2/2015|ARCOVERDE_42036|0,00|33,00|20,10|25,64
82890|ARCOVERDE|2/2/2015|ARCOVERDE_42037|0,00|32,80|19,10|25,32
82890|ARCOVERDE|3/2/2015|ARCOVERDE_42038|0,00|31,80|20,50|24,80
82890|ARCOVERDE|4/2/2015|ARCOVERDE_42039|8,60|29,60|20,70|23,80
82890|ARCOVERDE|5/2/2015|ARCOVERDE_42040|22,50|31,20|20,30|25,68
82890|ARCOVERDE|6/2/2015|ARCOVERDE_42041|0,00|32,20|19,50|25,56
82890|ARCOVERDE|7/2/2015|ARCOVERDE_42042|0,00|31,00|19,10|24,92
82890|ARCOVERDE|8/2/2015|ARCOVERDE_42043|0,00|31,00|19,10|24,84
82890|ARCOVERDE|9/2/2015|ARCOVERDE_42044|0,00|31,40|19,30|24,84
82890|ARCOVERDE|10/2/2015|ARCOVERDE_42045|0,00|32,40|19,10|25,00
82890|ARCOVERDE|11/2/2015|ARCOVERDE_42046|0,00|33,40|20,10|25,88
82890|ARCOVERDE|12/2/2015|ARCOVERDE_42047|0,00|33,40|20,70|25,92
82890|ARCOVERDE|13/2/2015|ARCOVERDE_42048|0,00|33,00|20,30|25,76
82890|ARCOVERDE|14/2/2015|ARCOVERDE_42049|0,00|33,00|20,30|24,32
82890|ARCOVERDE|15/2/2015|ARCOVERDE_42050|12,00|27,60|19,50|22,16
82890|ARCOVERDE|16/2/2015|ARCOVERDE_42051|22,00|31,20|19,50|24,68
82890|ARCOVERDE|17/2/2015|ARCOVERDE_42052|0,00|31,40|20,10|24,76
82890|ARCOVERDE|18/2/2015|ARCOVERDE_42053|0,00|31,20|21,30|24,76
82890|ARCOVERDE|19/2/2015|ARCOVERDE_42054|0,00|30,40|21,30|24,72
82890|ARCOVERDE|20/2/2015|ARCOVERDE_42055|0,00|30,80|17,50|24,40
82890|ARCOVERDE|21/2/2015|ARCOVERDE_42056|0,00|26,60|20,90|23,64
82890|ARCOVERDE|22/2/2015|ARCOVERDE_42057|0,00|27,00|20,50|22,84
82890|ARCOVERDE|23/2/2015|ARCOVERDE_42058|5,80|30,00|19,10|24,00
82890|ARCOVERDE|24/2/2015|ARCOVERDE_42059|0,00|31,00|19,90|25,00
82890|ARCOVERDE|25/2/2015|ARCOVERDE_42060|0,00|32,20|20,90|25,72
82890|ARCOVERDE|26/2/2015|ARCOVERDE_42061|0,00|32,80|19,90|25,68
82890|ARCOVERDE|27/2/2015|ARCOVERDE_42062|0,00|33,80|19,70|26,16
82890|ARCOVERDE|28/2/2015|ARCOVERDE_42063|0,00|33,60|19,30|26,88
82890|ARCOVERDE|1/3/2015|ARCOVERDE_42064|0,00|33,40|20,50|25,24
82890|ARCOVERDE|2/3/2015|ARCOVERDE_42065|1,60|32,00|20,50|24,60
82890|ARCOVERDE|3/3/2015|ARCOVERDE_42066|1,20|31,60|19,10|24,20
82890|ARCOVERDE|4/3/2015|ARCOVERDE_42067|0,00|31,80|18,90|24,76
82890|ARCOVERDE|5/3/2015|ARCOVERDE_42068|0,00|32,20|20,50|24,56
82890|ARCOVERDE|6/3/2015|ARCOVERDE_42069|15,20|30,80|20,50|24,00
82890|ARCOVERDE|7/3/2015|ARCOVERDE_42070|0,00|31,40|19,30|25,20
82890|ARCOVERDE|8/3/2015|ARCOVERDE_42071|0,00|31,40|21,10|25,04
82890|ARCOVERDE|9/3/2015|ARCOVERDE_42072|2,20|30,20|20,30|24,16
82890|ARCOVERDE|10/3/2015|ARCOVERDE_42073|13,40|31,00|20,90|24,52
82890|ARCOVERDE|11/3/2015|ARCOVERDE_42074|0,00|31,60|19,70|25,04
82890|ARCOVERDE|12/3/2015|ARCOVERDE_42075|0,00|31,80|18,70|24,44
82890|ARCOVERDE|13/3/2015|ARCOVERDE_42076|0,00|32,20|20,50|25,44
82890|ARCOVERDE|14/3/2015|ARCOVERDE_42077|0,00|32,40|19,10|25,28
82890|ARCOVERDE|15/3/2015|ARCOVERDE_42078|0,00|33,20|19,50|25,56
82890|ARCOVERDE|16/3/2015|ARCOVERDE_42079|0,00|33,60|21,50|26,28
82890|ARCOVERDE|17/3/2015|ARCOVERDE_42080|0,00|33,80|20,90|25,60
82890|ARCOVERDE|18/3/2015|ARCOVERDE_42081|0,00|32,40|20,70|25,52
82890|ARCOVERDE|19/3/2015|ARCOVERDE_42082|0,00|30,20|20,50|24,76
82890|ARCOVERDE|20/3/2015|ARCOVERDE_42083|0,00|32,40|19,10|24,44
82890|ARCOVERDE|21/3/2015|ARCOVERDE_42084|1,00|32,80|21,10|25,56
82890|ARCOVERDE|22/3/2015|ARCOVERDE_42085|0,00|31,00|21,10|24,68
82890|ARCOVERDE|23/3/2015|ARCOVERDE_42086|0,00|32,80|19,90|24,84
82890|ARCOVERDE|24/3/2015|ARCOVERDE_42087|0,70|33,00|19,90|25,60
82890|ARCOVERDE|25/3/2015|ARCOVERDE_42088|0,00|33,00|22,10|26,76
82890|ARCOVERDE|26/3/2015|ARCOVERDE_42089|0,00|33,80|18,70|25,28
82890|ARCOVERDE|27/3/2015|ARCOVERDE_42090|0,00|32,60|19,50|25,24
82890|ARCOVERDE|28/3/2015|ARCOVERDE_42091|0,00|33,40|17,00|26,02
82890|ARCOVERDE|29/3/2015|ARCOVERDE_42092|0,00|33,40|21,70|26,24
82890|ARCOVERDE|30/3/2015|ARCOVERDE_42093|0,40|32,40|20,70|26,08
82890|ARCOVERDE|31/3/2015|ARCOVERDE_42094|0,00|32,80|18,10|24,96
82890|ARCOVERDE|1/4/2015|ARCOVERDE_42095|0,00|33,80|18,30|25,72
82890|ARCOVERDE|2/4/2015|ARCOVERDE_42096|0,00|33,20|20,70|26,44
82890|ARCOVERDE|3/4/2015|ARCOVERDE_42097|0,00|33,40|19,30|25,72
82890|ARCOVERDE|4/4/2015|ARCOVERDE_42098|0,00|32,20|20,70|25,72
82890|ARCOVERDE|5/4/2015|ARCOVERDE_42099|0,00|33,20|20,70|26,12
82890|ARCOVERDE|6/4/2015|ARCOVERDE_42100|0,00|34,20|21,90|26,56
82890|ARCOVERDE|7/4/2015|ARCOVERDE_42101|0,00|33,00|21,70|25,56
82890|ARCOVERDE|8/4/2015|ARCOVERDE_42102|5,80|30,80|21,10|24,96
82890|ARCOVERDE|9/4/2015|ARCOVERDE_42103|0,00|32,60|19,90|25,84
82890|ARCOVERDE|10/4/2015|ARCOVERDE_42104|0,00|33,40|19,30|25,24
82890|ARCOVERDE|11/4/2015|ARCOVERDE_42105|0,00|32,80|19,30|25,40
82890|ARCOVERDE|12/4/2015|ARCOVERDE_42106|2,10|30,40|20,70|24,08
82890|ARCOVERDE|13/4/2015|ARCOVERDE_42107|2,10|32,80|20,90|26,00
