Bairro|População|Estação
ARCOVERDE|6619|ARCOVERDE
BOA VISTA|4766|ARCOVERDE
CENTRO|8599|ARCOVERDE
CORONEL SIQUEIRA CAMPOS|4902|ARCOVERDE
POR DE SOL|2533|ARCOVERDE
SANTA LUZIA|1050|ARCOVERDE
SANTOS DUMONT|4457|ARCOVERDE
SAO CRISTOVAO|22483|ARCOVERDE
SAO GERALDO|6361|ARCOVERDE
SAO MIGUEL|4009|ARCOVERDE
SUCUPIRA|2436|ARCOVERDE
TAMBORIL|578|ARCOVERDE
ABC||CABROBÓ
AEROPORTO||CABROBÓ
ALTO DA TEMPERATURA||CABROBÓ
ALTO DO CANCAO||CABROBÓ
BEIRA RIO||CABROBÓ
CENTRO||CABROBÓ
COHAB||CABROBÓ
D. FRANCISCO XAVIER(SUBESTACAO)||CABROBÓ
DIVINOPOLIS (SEM TETO PROXIMO AO CEMITERIO)||CABROBÓ
IPSEP||CABROBÓ
LTM. ALVORADA||CABROBÓ
MARIA LUIZA||CABROBÓ
PEDRINHAS||CABROBÓ
PEDRO QUIRINO||CABROBÓ
SANTA RITA||CABROBÓ
VILA DAS FLORES||CABROBÓ
VILA DO IPA||CABROBÓ
VILA NOVA||CABROBÓ
ALOISIO SOUTO PINTO|11893|GARANHUNS
BOA VISTA|10722|GARANHUNS
DOM HELDER CÂMARA|4179|GARANHUNS
DOM THIAGO POSIMA|473|GARANHUNS
FRANCISCO SIMAO DOS SANTOS FIGUEIRA|11270|GARANHUNS
GARANHUNS (DEMAIS SETORES)|17304|GARANHUNS
HELIOPOLIS|19409|GARANHUNS
JOSE MARIA DOURADO|2227|GARANHUNS
MAGANO|12148|GARANHUNS
NOVO HELIOPOLIS|2201|GARANHUNS
SANTO ANTONIO|5975|GARANHUNS
SAO JOSE|11636|GARANHUNS
SEVERIANO MORAES FILHO|19971|GARANHUNS
AEROPORTO||OURICURI
ALTO PARAISO||OURICURI
BEBERIBE||OURICURI
BOM JESUS||OURICURI
CANACUI||OURICURI
CAPELA DE SAO BRAZ||OURICURI
CENTRO||OURICURI
COHAB||OURICURI
CONJUNTO SAO SEBASTIAO I||OURICURI
CONJUNTO SAO SEBASTIAO II||OURICURI
IPSEP||OURICURI
LAURA COELHO / PARQUE ADALBERTO PEDRO DA SILVA||OURICURI
LOTEAMENTO COLINAS DO TAMBORIL||OURICURI
NOSSA SENHORA DE FATIMA||OURICURI
NOSSA SENHORA DO CARMO||OURICURI
PINDORAMA||OURICURI
RENASCENCA (BATALHAO)||OURICURI
SANTA MARIA||OURICURI
SANTA MARIA 2||OURICURI
SANTO ANTONIO||OURICURI
VILA IPSEP 2||OURICURI
VISTA OURICURI||OURICURI
VIVA BEM AABB OURICURI||OURICURI
ANTONIO CASSIMIRO|10760|PETROLINA
AREIA BRANCA|8978|PETROLINA
ATRAS DE BANCA|3663|PETROLINA
BOA ESPERANCA|597|PETROLINA
CARNEIRO|115|PETROLINA
CENTRO|6943|PETROLINA
CIDADE UNIVERSITARIA|1937|PETROLINA
COHAB-MASSANGANO|10279|PETROLINA
COHAB-SAO FRANCISCO|10653|PETROLINA
COSME E DAMIAO|5335|PETROLINA
DISTRITO INDUSTRIAL|576|PETROLINA
DOM AVELAR|13000|PETROLINA
DOM MALAN|3867|PETROLINA
